serie : Pipolin
46 Pipolin fête le 14 juillet| Éditions Vaillant| nullePart| 07 1961| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
47 Le temps des moissons| Éditions Vaillant| nullePart| 08 1961| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
48 Gai, gai, cueillons le raisin !| Éditions Vaillant| nullePart| 09 1961| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
49 Pipolin retourne à l'école| Éditions Vaillant| nullePart| 10 1961| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
50 Pipolin et l'arche de Noé| Éditions Vaillant| nullePart| 11 1961| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
51 Pipolin Père Noël| Éditions Vaillant| nullePart| 12 1961| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
52 Pipolin prépare le championnat| Éditions Vaillant| nullePart| 01 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
53 Des Ennuis pour Pipolin| Éditions Vaillant| nullePart| 02 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
54 Qui a fait le printemps ?| Éditions Vaillant| nullePart| 03 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
55 Comme dans un conte...| Éditions Vaillant| nullePart| 04 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
56 Champion malgré lui| Éditions Vaillant| nullePart| 05 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
57 A qui la faute ?| Éditions Vaillant| nullePart| 06 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
58 Son et lumière| Éditions Vaillant| nullePart| 07 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
59 Pipolin gardien du phare| Éditions Vaillant| nullePart| 08 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
60 Le Grand Départ| Éditions Vaillant| nullePart| 09 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
61 Pipolin et le modèle réduit| Éditions Vaillant| nullePart| 10 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
62 Pipolin et la composition| Éditions Vaillant| nullePart| 11 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
63 Père Noël et compagnie| Éditions Vaillant| nullePart| 12 1962| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
64 Sports d'hiver| Éditions Vaillant| nullePart| 01 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
65 Pipolin et la faim sans fin| Éditions Vaillant| nullePart| 02 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
66 Pipolin fait du nettoyage| Éditions Vaillant| nullePart| 03 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
67 sans titre| Éditions Vaillant| nullePart| 04 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
68 sans titre| Éditions Vaillant| nullePart| 05 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
69 sans titre| Éditions Vaillant| nullePart| 06 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
70 sans titre| Éditions Vaillant| nullePart| 07 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
71 sans titre| Éditions Vaillant| nullePart| 08 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
72 Pipolin cordon bleu| Éditions Vaillant| nullePart| 09 1963| Scénario : Gilda Teixeira Coelho - Dessin : Eduardo Coelho
